Rank,State,2018 Population,no. mcdonald,abbreviation,density,Value,Sample Size
24,Alabama,4888949,244,AL,4.990847726,33.5,"8,190"
48,Alaska,738068,25,AK,3.387221774,29.7,"4,142"
14,Arizona,7123898,271,AZ,3.804097139,28.9,"13,849"
33,Arkansas,3020327,163,AR,5.396766641,35.9,"4,886"
1,California,39776830,1308,CA,3.288346507,24.7,"8,025"
21,Colorado,5684203,220,CO,3.870375495,21.3,"12,567"
29,Connecticut,3588683,151,CT,4.207671728,26.3,"7,237"
45,Delaware,971180,37,DE,3.80979839,30.7,"3,983"
49,District of Columbia,703608,35,DC,4.974360724,21.7,"3,787"
3,Florida,21312211,842,FL,3.950786711,26.2,"9,156"
8,Georgia,10545138,444,GA,4.210471214,30.5,"5,844"
40,Hawaii,1426393,72,HI,5.047697234,22.1,"6,905"
39,Idaho,1753860,58,ID,3.306991436,28.9,"5,125"
6,Illinois,12768320,666,IL,5.216034686,29.3,"4,835"
17,Indiana,6699629,360,IN,5.373431872,32.7,"10,773"
30,Iowa,3160553,144,IA,4.556164696,30.9,"7,572"
35,Kansas,2918515,146,KS,5.002544102,31.3,"12,825"
26,Kentucky,4472265,251,KY,5.612368677,31.6,"10,442"
25,Louisiana,4682509,248,LA,5.296305891,34.9,"6,366"
42,Maine,1341582,59,ME,4.397793053,28.2,"8,705"
19,Maryland,6079602,301,MD,4.950981989,29.6,"11,713"
15,Massachusetts,6895917,268,MA,3.886357681,23.3,"14,394"
10,Michigan,9991177,546,MI,5.464821612,30.7,"8,024"
22,Minnesota,5628162,218,MN,3.873378201,27.6,"15,309"
34,Mississippi,2982785,144,MS,4.827702969,35.5,"3,975"
18,Missouri,6135888,267,MO,4.351448397,30.2,"6,695"
43,Montana,1062330,48,MT,4.518369998,26.4,"7,064"
37,Nebraska,1932549,78,NE,4.036120171,30.2,"21,130"
32,Nevada,3056824,157,NV,5.136049704,27.7,"3,555"
41,New Hampshire,1350575,59,NH,4.368509709,27.4,"5,730"
11,New Jersey,9032872,276,NJ,3.055506599,26.9,"11,955"
36,New Mexico,2090708,96,NM,4.591745954,28.4,"8,284"
4,New York,19862512,699,NY,3.519192336,27,"6,325"
9,North Carolina,10390149,440,NC,4.234780464,29.7,"6,621"
47,North Dakota,755238,23,ND,3.04539761,32.2,"7,269"
7,Ohio,11694664,637,OH,5.446928616,32.6,"10,313"
28,Oklahoma,3940521,204,OK,5.176980404,33,"8,009"
27,Oregon,4199563,169,OR,4.024228235,27.9,"4,919"
5,Pennsylvania,12823989,534,PA,4.164070945,30.2,"10,374"
44,Rhode Island,1061712,33,RI,3.108187531,27,"5,969"
23,South Carolina,5088916,207,SC,4.067663919,32.1,"10,393"
46,South Dakota,877790,30,SD,3.417673931,29.8,"6,960"
16,Tennessee,6782564,326,TN,4.80644193,31.2,"4,793"
2,Texas,28704330,1150,TX,4.006364197,31.9,"14,058"
31,Utah,3159345,111,UT,3.513386477,25.7,"13,965"
50,Vermont,623960,28,VT,4.487467145,24.8,"6,068"
12,Virginia,8525660,418,VA,4.902846231,28.5,"8,879"
13,Washington,7530552,275,WA,3.651790732,27.3,"9,444"
38,West Virginia,1803077,99,WV,5.4906141,35.7,"5,846"
20,Wisconsin,5818049,302,WI,5.190743495,31.2,"6,655"
51,Wyoming,573720,25,WY,4.357526319,29.5,"5,973"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,National,28.9,(28.6-29.2),"425,875",,,
